epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,96.2602,0.49498,0.45499,0.5711,0.91542,0,0.94656,0.95163,0.93174,0.858,0.94656,0.95163,0.93174,0.9015,0.5386,0.41239,0.55586,0.88541,0,0.000915875,0.000915875,0.000915875
29,99.9639,0.49918,0.64113,0.56318,0.91837,0,0.91042,0.90481,0.87042,0.76719,0.91042,0.90481,0.87042,0.80464,0.57638,0.45451,0.69644,0.93039,0,0.0009035,0.0009035,0.0009035
30,103.416,0.50067,0.54744,0.54272,0.91803,0,0.89918,0.88558,0.85558,0.76814,0.94642,0.88135,0.85958,0.81632,0.59911,0.43187,0.59426,0.94038,0,0.000891125,0.000891125,0.000891125
31,106.886,0.48346,0.4777,0.52196,0.90113,0,0.92917,0.95493,0.93902,0.82178,0.92917,0.95493,0.93902,0.86094,0.59257,0.4299,0.53661,0.95869,0,0.00087875,0.00087875,0.00087875
32,110.319,0.5055,0.5625,0.55011,0.92303,0,0.88542,0.92404,0.89147,0.76463,0.88542,0.92404,0.89147,0.81374,0.56271,0.41032,0.5765,0.9658,0,0.000866375,0.000866375,0.000866375
33,113.728,0.4797,0.48408,0.54801,0.90711,0,0.81626,0.81635,0.77101,0.70283,0.81626,0.81635,0.77101,0.72664,0.58913,0.51154,0.67305,0.95751,0,0.000854,0.000854,0.000854
34,117.302,0.48193,0.48861,0.54017,0.90785,0,0.94024,0.9625,0.92876,0.83567,0.94024,0.9625,0.92876,0.87478,0.52712,0.42515,0.53567,0.90749,0,0.000841625,0.000841625,0.000841625
35,120.654,0.46394,0.48304,0.51872,0.89238,0,0.95601,0.94327,0.915,0.8557,0.95601,0.94327,0.915,0.8755,0.49671,0.39753,0.50941,0.8957,0,0.00082925,0.00082925,0.00082925
36,124.224,0.44902,0.51897,0.48141,0.87867,0,0.94464,0.8625,0.82812,0.74032,0.95287,0.8625,0.82937,0.75567,0.531,0.45026,0.54304,0.90617,0,0.000816875,0.000816875,0.000816875
37,127.623,0.44527,0.51018,0.50907,0.89584,0,0.93452,0.9625,0.93625,0.876,0.93452,0.9625,0.93625,0.8984,0.50448,0.3846,0.50113,0.88605,0,0.0008045,0.0008045,0.0008045
